POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE
B12,2010-05-09,2010-05-28,-72.011,-39.952,1817,0.1
B12,2010-04-07,2010-05-09,-72.011,-39.952,1817,-0.26
B12,2010-03-11,2010-04-07,-72.011,-39.952,1817,-1.51
B12,2010-02-11,2010-03-11,-72.011,-39.952,1817,-1.52
B11,2010-10-08,2010-11-04,-72.001,-39.945,1811,0.05
B11,2010-09-02,2010-10-08,-72.001,-39.945,1811,-0.04
B11,2010-05-09,2010-05-28,-72.001,-39.945,1811,0.11
B11,2010-04-07,2010-05-09,-72.001,-39.945,1811,-0.01
B11,2010-03-11,2010-04-07,-72.001,-39.945,1811,-0.99
B2,2010-12-22,2011-01-23,-72.028,-39.931,2392,-0.59
B19,2011-12-19,2011-12-26,-72.03,-39.942,2022,-0.92
B19,2011-10-13,2011-11-11,-72.03,-39.942,2022,0.64
B19,2011-09-07,2011-10-13,-72.03,-39.942,2022,0.6
B19,2011-06-22,2011-07-19,-72.03,-39.942,2022,0.87
B19,2011-05-22,2011-06-22,-72.03,-39.942,2022,0.74
B19,2011-05-01,2011-05-22,-72.03,-39.942,2022,0.39
B19,2011-03-24,2011-05-01,-72.03,-39.942,2022,0.45
B19,2011-02-23,2011-03-24,-72.03,-39.942,2022,-0.23
B19,2011-01-23,2011-02-23,-72.03,-39.942,2022,-0.44
B19,2010-12-22,2011-01-23,-72.03,-39.942,2022,-0.21
B18,2011-12-19,2011-12-26,-72.019,-39.943,1982,-0.58
B18,2011-10-13,2011-11-11,-72.019,-39.943,1982,0.73
B18,2011-09-07,2011-10-13,-72.019,-39.943,1982,0.53
B18,2011-08-20,2011-09-07,-72.019,-39.943,1982,0.59
B18,2011-06-22,2011-07-19,-72.019,-39.943,1982,0.72
B18,2011-05-22,2011-06-22,-72.019,-39.943,1982,0.67
B18,2011-05-01,2011-05-22,-72.019,-39.943,1982,0.35
B18,2011-03-24,2011-05-01,-72.019,-39.943,1982,0.23
B18,2011-02-23,2011-03-24,-72.019,-39.943,1982,-1.07
B18,2011-01-23,2011-02-23,-72.019,-39.943,1982,-0.65
B18,2010-12-22,2011-01-23,-72.019,-39.943,1982,-0.35
B17,2011-12-19,2011-12-26,-72.014,-39.936,2032,-0.7
B17,2011-10-13,2011-11-11,-72.014,-39.936,2032,0.54
B17,2011-09-07,2011-10-13,-72.014,-39.936,2032,0.42
B17,2011-06-22,2011-07-19,-72.014,-39.936,2032,0.57
B17,2011-05-22,2011-06-22,-72.014,-39.936,2032,0.73
B17,2011-05-01,2011-05-22,-72.014,-39.936,2032,0.14
B17,2011-03-24,2011-05-01,-72.014,-39.936,2032,0.25
B17,2011-02-23,2011-03-24,-72.014,-39.936,2032,-0.1
B17,2011-01-23,2011-02-23,-72.014,-39.936,2032,-0.81
B15,2011-12-19,2011-12-26,-72.009,-39.942,1918,-1.04
B15,2011-10-13,2011-11-11,-72.009,-39.942,1918,-0.31
B15,2011-09-07,2011-10-13,-72.009,-39.942,1918,0.25
B15,2011-08-20,2011-09-07,-72.009,-39.942,1918,0.47
B15,2011-07-19,2011-08-20,-72.009,-39.942,1918,0.77
B15,2011-06-22,2011-07-19,-72.009,-39.942,1918,0.88
B15,2011-05-22,2011-06-22,-72.009,-39.942,1918,0.51
B15,2011-05-01,2011-05-22,-72.009,-39.942,1918,0.15
B15,2011-03-24,2011-05-01,-72.009,-39.942,1918,0.26
B15,2011-02-23,2011-03-24,-72.009,-39.942,1918,-1.14
B15,2011-01-23,2011-02-23,-72.009,-39.942,1918,-0.82
B14,2011-12-19,2011-12-26,-72.015,-39.947,1919,-0.75
B14,2011-10-13,2011-11-11,-72.015,-39.947,1919,-0.19
B14,2011-08-20,2011-09-07,-72.015,-39.947,1919,0.83
B14,2011-06-22,2011-07-19,-72.015,-39.947,1919,0.77
B14,2011-05-22,2011-06-22,-72.015,-39.947,1919,0.76
B14,2011-05-01,2011-05-22,-72.015,-39.947,1919,0.28
B14,2011-03-24,2011-05-01,-72.015,-39.947,1919,0.3
B14,2011-02-23,2011-03-24,-72.015,-39.947,1919,-0.55
B10,2011-10-13,2011-11-11,-72.008,-39.949,1881,-0.21
B14,2011-01-23,2011-02-23,-72.015,-39.947,1919,-1
B10,2011-12-19,2011-12-26,-72.008,-39.949,1881,-1.39
B14,2010-12-22,2011-01-23,-72.015,-39.947,1919,-0.11
B11,2010-12-22,2011-01-23,-72.001,-39.945,1811,-0.86
B11,2011-01-23,2011-02-23,-72.001,-39.945,1811,-1.41
B11,2011-03-24,2011-05-01,-72.001,-39.945,1811,0.2
B11,2011-05-01,2011-05-22,-72.001,-39.945,1811,0.05
B11,2011-05-22,2011-06-22,-72.001,-39.945,1811,0.51
B11,2011-06-22,2011-07-19,-72.001,-39.945,1811,0.55
B11,2011-08-20,2011-09-07,-72.001,-39.945,1811,0.65
B11,2011-09-07,2011-10-13,-72.001,-39.945,1811,0.61
B11,2011-10-13,2011-11-11,-72.001,-39.945,1811,-0.75
B11,2011-12-19,2011-12-26,-72.001,-39.945,1811,-2.44
