POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE,YEAR,RGIId,aspect,slope
B18,20101104,20101206,-72.019,-39.943,1982.0,-0.13,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20101008,20101104,-72.019,-39.943,1982.0,0.16,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20100902,20101008,-72.019,-39.943,1982.0,0.2,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20100509,20100528,-72.019,-39.943,1982.0,0.19,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20100407,20100509,-72.019,-39.943,1982.0,0.31,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20100311,20100407,-72.019,-39.943,1982.0,-0.56,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20100211,20100311,-72.019,-39.943,1982.0,-0.58,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20100107,20100211,-72.019,-39.943,1982.0,-0.89,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20091211,20100107,-72.019,-39.943,1982.0,-0.48,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20101206,20101222,-72.014,-39.936,2032.0,-0.05,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20101008,20101104,-72.014,-39.936,2032.0,0.25,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20100902,20101008,-72.014,-39.936,2032.0,-0.03,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20100509,20100528,-72.014,-39.936,2032.0,0.34,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20100407,20100509,-72.014,-39.936,2032.0,0.45,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20100311,20100407,-72.014,-39.936,2032.0,-0.06,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20100211,20100311,-72.014,-39.936,2032.0,-0.13,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20100107,20100211,-72.014,-39.936,2032.0,-0.54,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20091211,20100107,-72.014,-39.936,2032.0,-0.5,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B15,20101206,20101222,-72.009,-39.942,1918.0,0.27,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
